order_id,order_date,year,quarter,quarter_num,week_of_quarter,product,license_type,region,country,company,amount,admins,designers,servers,sams,active_client_flag
ORD-20121-00042,2012-03-14,2012,Q1,1,11,Product 1,Invoice,EMEA,FR,Company 46,1699.63,0,0,0,0,0
ORD-20121-00006,2012-03-15,2012,Q1,1,11,Product 2,Invoice,EMEA,NO,Company 47,3732.9,1,1,0,0,0
ORD-20121-00024,2012-03-15,2012,Q1,1,11,Product 2,Invoice,EMEA,SE,Company 4,2882.62,0,0,0,1,0
ORD-20121-00013,2012-03-20,2012,Q1,1,12,Product 1,Invoice,EMEA,SE,Company 79,3144.95,1,0,0,2,0
ORD-20121-00041,2012-03-20,2012,Q1,1,12,Product 2,Invoice,EMEA,UK,Company 16,2852.79,1,1,1,1,0
ORD-20121-00007,2012-03-20,2012,Q1,1,12,Product 1,Maintenance Renewal,North America,US,Company 68,1941.01,0,1,0,0,0
ORD-20121-00002,2012-03-21,2012,Q1,1,12,Product 1,Invoice,North America,US,Company 99,3244.75,2,0,0,0,1
ORD-20121-00018,2012-03-23,2012,Q1,1,12,Product 1,Invoice,EMEA,UK,Company 14,4152.8,7,3,0,1,1
ORD-20121-00031,2012-03-25,2012,Q1,1,13,Product 2,Invoice,North America,US,Company 51,5065.0,1,4,0,1,0
ORD-20121-00011,2012-03-26,2012,Q1,1,13,Product 1,Invoice,North America,US,Company 57,4324.39,2,2,0,2,1
ORD-20121-00005,2012-03-26,2012,Q1,1,13,Product 2,Invoice,EMEA,GR,Company 111,1668.69,0,0,0,0,0
ORD-20121-00022,2012-03-27,2012,Q1,1,13,Product 2,Invoice,EMEA,NO,Company 80,3737.06,1,4,0,3,0
ORD-20121-00023,2012-03-29,2012,Q1,1,13,Product 2,Invoice,EMEA,UK,Company 72,3867.95,2,1,2,2,0
ORD-20122-00083,2012-04-01,2012,Q2,2,1,Product 2,Maintenance Renewal,EMEA,UK,Company 85,1415.86,0,1,0,0,0
ORD-20122-00059,2012-04-03,2012,Q2,2,1,Product 2,Invoice,North America,US,Company 61,4121.58,0,3,0,0,0
ORD-20122-00081,2012-04-05,2012,Q2,2,1,Product 2,Invoice,EMEA,DE,Company 20,2399.9,1,2,2,0,0
ORD-20122-00056,2012-04-06,2012,Q2,2,1,Product 2,Invoice,North America,US,Company 96,5211.08,1,2,0,0,1
ORD-20122-00074,2012-04-10,2012,Q2,2,2,Product 1,Invoice,North America,US,Company 146,7257.91,5,4,0,2,0
ORD-20122-00078,2012-04-12,2012,Q2,2,2,Product 1,Invoice,EMEA,NO,Company 119,6631.11,2,1,1,2,0
ORD-20122-00047,2012-04-13,2012,Q2,2,2,Product 2,Maintenance Renewal,North America,US,Company 41,1249.94,0,1,0,0,0
ORD-20122-00050,2012-04-14,2012,Q2,2,2,Product 1,Invoice,EMEA,NO,Company 4,3743.65,2,0,0,0,1
ORD-20122-00057,2012-04-17,2012,Q2,2,3,Product 2,Invoice,EMEA,FR,Company 98,2387.3,1,2,0,1,0
ORD-20122-00084,2012-04-17,2012,Q2,2,3,Product 1,Maintenance Renewal,EMEA,SE,Company 20,2224.39,1,1,0,0,0
ORD-20122-00079,2012-04-18,2012,Q2,2,3,Product 2,Maintenance Renewal,North America,US,Company 54,1978.96,2,1,1,2,0
ORD-20122-00048,2012-04-21,2012,Q2,2,3,Product 1,Invoice,EMEA,UK,Company 54,4936.71,4,4,2,0,1
ORD-20122-00082,2012-04-22,2012,Q2,2,4,Product 1,Invoice,EMEA,NO,Company 18,3622.38,2,0,0,1,0
ORD-20122-00077,2012-04-24,2012,Q2,2,4,Product 2,Invoice,EMEA,NO,Company 141,3568.46,1,2,0,1,0
ORD-20122-00052,2012-04-25,2012,Q2,2,4,Product 1,Maintenance Renewal,North America,US,Company 61,2310.6,2,0,0,0,0
ORD-20122-00086,2012-04-29,2012,Q2,2,5,Product 1,Invoice,North America,US,Company 92,10568.27,7,6,1,2,0
ORD-20122-00066,2012-04-29,2012,Q2,2,5,Product 1,Invoice,EMEA,LU,Company 43,2993.32,1,2,0,2,0
ORD-20122-00071,2012-05-01,2012,Q2,2,5,Product 1,Invoice,EMEA,UK,Company 16,6004.15,2,1,1,2,1
ORD-20122-00068,2012-05-05,2012,Q2,2,5,Product 1,Maintenance Renewal,EMEA,NO,Company 105,2549.79,0,3,0,0,0
ORD-20122-00053,2012-05-06,2012,Q2,2,6,Product 2,Invoice,EMEA,SE,Company 62,2553.7,1,1,0,2,1
ORD-20122-00046,2012-05-07,2012,Q2,2,6,Product 2,Invoice,North America,US,Company 28,3464.17,2,1,1,1,1
ORD-20122-00067,2012-05-11,2012,Q2,2,6,Product 2,Invoice,EMEA,NO,Company 82,3838.42,2,1,1,0,1
ORD-20122-00072,2012-05-11,2012,Q2,2,6,Product 1,Invoice,EMEA,UK,Company 30,7145.89,2,4,1,2,1
ORD-20122-00062,2012-05-12,2012,Q2,2,6,Product 2,Maintenance Renewal,EMEA,DE,Company 141,973.33,0,0,0,0,0
ORD-20122-00055,2012-05-13,2012,Q2,2,7,Product 1,Invoice,EMEA,UK,Company 58,7452.05,5,2,1,0,1
ORD-20122-00063,2012-05-14,2012,Q2,2,7,Product 1,Invoice,EMEA,NO,Company 43,4860.91,0,3,1,0,0
ORD-20122-00054,2012-05-14,2012,Q2,2,7,Product 1,Invoice,EMEA,UK,Company 45,4471.06,3,1,0,3,0
ORD-20122-00049,2012-05-15,2012,Q2,2,7,Product 2,Invoice,EMEA,SE,Company 149,4344.89,2,3,0,1,1
ORD-20122-00044,2012-05-20,2012,Q2,2,8,Product 1,Invoice,EMEA,DE,Company 75,7505.06,7,4,0,1,1
ORD-20122-00075,2012-05-20,2012,Q2,2,8,Product 2,Invoice,EMEA,GR,Company 68,2207.59,0,1,0,1,0
ORD-20122-00061,2012-05-24,2012,Q2,2,8,Product 2,Invoice,EMEA,UK,Company 47,6006.48,1,6,1,1,1
ORD-20122-00060,2012-05-24,2012,Q2,2,8,Product 2,Maintenance Renewal,EMEA,UK,Company 137,1629.2,0,1,0,0,0
ORD-20122-00045,2012-05-25,2012,Q2,2,8,Product 1,Invoice,EMEA,UK,Company 99,11921.52,5,2,0,2,0
ORD-20122-00069,2012-05-25,2012,Q2,2,8,Product 2,Invoice,North America,US,Company 58,5778.32,2,4,0,1,0
ORD-20122-00070,2012-06-03,2012,Q2,2,10,Product 1,Invoice,EMEA,UK,Company 55,4260.37,2,2,0,1,0
ORD-20122-00085,2012-06-04,2012,Q2,2,10,Product 2,Invoice,EMEA,NO,Company 122,4509.9,1,3,1,1,1
ORD-20122-00051,2012-06-14,2012,Q2,2,11,Product 1,Invoice,EMEA,SE,Company 37,2010.56,0,6,0,0,0
ORD-20122-00076,2012-06-15,2012,Q2,2,11,Product 1,Maintenance Renewal,EMEA,SE,Company 119,1149.95,0,0,0,0,0
ORD-20122-00058,2012-06-20,2012,Q2,2,12,Product 2,Maintenance Renewal,EMEA,SE,Company 68,1530.69,0,1,0,0,0
ORD-20122-00064,2012-06-21,2012,Q2,2,12,Product 1,Invoice,EMEA,NO,Company 61,5556.16,2,2,1,1,0
ORD-20122-00065,2012-06-23,2012,Q2,2,12,Product 1,Invoice,North America,US,Company 1,10016.83,4,6,2,1,0
ORD-20122-00073,2012-06-25,2012,Q2,2,13,Product 1,Invoice,EMEA,NO,Company 33,7067.42,6,3,1,1,1
ORD-20122-00080,2012-06-27,2012,Q2,2,13,Product 1,Maintenance Renewal,EMEA,UK,Company 109,2048.62,0,0,1,0,0
ORD-20123-00110,2012-07-09,2012,Q3,3,2,Product 1,Maintenance Renewal,EMEA,FR,Company 66,2590.81,1,4,0,1,0
ORD-20123-00107,2012-07-16,2012,Q3,3,3,Product 1,Invoice,North America,US,Company 134,7376.88,2,3,2,0,0
ORD-20123-00126,2012-07-16,2012,Q3,3,3,Product 1,Maintenance Renewal,North America,US,Company 48,3926.85,1,2,0,0,0
ORD-20123-00092,2012-07-17,2012,Q3,3,3,Product 1,Invoice,EMEA,GR,Company 36,3546.02,1,0,0,1,1
ORD-20123-00104,2012-07-21,2012,Q3,3,3,Product 1,Maintenance Renewal,EMEA,UK,Company 38,3232.33,1,0,0,0,0
ORD-20123-00087,2012-07-22,2012,Q3,3,4,Product 2,Invoice,EMEA,UK,Company 107,2423.86,1,1,0,4,1
ORD-20123-00101,2012-07-22,2012,Q3,3,4,Product 2,Invoice,North America,US,Company 139,2812.11,0,1,0,0,0
ORD-20123-00119,2012-07-22,2012,Q3,3,4,Product 2,Invoice,EMEA,NO,Company 30,4163.99,0,2,0,1,1
ORD-20123-00095,2012-07-24,2012,Q3,3,4,Product 1,Maintenance Renewal,EMEA,UK,Company 90,2575.68,0,2,0,0,0
ORD-20123-00094,2012-07-25,2012,Q3,3,4,Product 1,Invoice,EMEA,IT,Company 101,4287.4,4,0,2,2,0
ORD-20123-00125,2012-07-30,2012,Q3,3,5,Product 1,Invoice,EMEA,DE,Company 28,6511.89,4,3,0,4,0
ORD-20123-00122,2012-07-30,2012,Q3,3,5,Product 1,Invoice,EMEA,UK,Company 53,4629.24,2,0,0,3,0
ORD-20123-00091,2012-07-30,2012,Q3,3,5,Product 2,Invoice,EMEA,UK,Company 26,2775.33,3,2,0,1,0
ORD-20123-00096,2012-07-30,2012,Q3,3,5,Product 2,Maintenance Renewal,EMEA,UK,Company 69,1569.42,0,0,0,0,0
ORD-20123-00130,2012-07-31,2012,Q3,3,5,Product 1,Invoice,North America,US,Company 50,5164.72,6,3,0,1,0
ORD-20123-00117,2012-08-01,2012,Q3,3,5,Product 1,Maintenance Renewal,EMEA,UK,Company 12,3106.45,2,0,1,0,1
ORD-20123-00105,2012-08-02,2012,Q3,3,5,Product 2,Maintenance Renewal,EMEA,SP,Company 52,627.31,0,1,0,2,0
ORD-20123-00128,2012-08-05,2012,Q3,3,6,Product 1,Maintenance Renewal,EMEA,UK,Company 135,1332.34,0,0,0,0,0
ORD-20123-00129,2012-08-05,2012,Q3,3,6,Product 1,Invoice,EMEA,UK,Company 89,7334.91,4,3,0,1,1
ORD-20123-00106,2012-08-08,2012,Q3,3,6,Product 1,Invoice,North America,US,Company 13,6860.64,3,3,1,0,0
ORD-20123-00102,2012-08-08,2012,Q3,3,6,Product 2,Invoice,EMEA,DE,Company 70,4267.92,3,2,0,2,0
ORD-20123-00124,2012-08-10,2012,Q3,3,6,Product 2,Invoice,North America,US,Company 111,5097.64,1,0,0,0,0
ORD-20123-00118,2012-08-11,2012,Q3,3,6,Product 1,Maintenance Renewal,EMEA,IT,Company 149,1290.61,0,0,0,0,0
ORD-20123-00127,2012-08-13,2012,Q3,3,7,Product 1,Maintenance Renewal,EMEA,FR,Company 39,2221.87,0,0,0,1,0
ORD-20123-00121,2012-08-13,2012,Q3,3,7,Product 2,Maintenance Renewal,EMEA,NO,Company 80,1764.79,0,0,1,0,0
ORD-20123-00103,2012-08-20,2012,Q3,3,8,Product 2,Invoice,EMEA,UK,Company 64,2777.96,2,1,1,1,0
ORD-20123-00115,2012-08-22,2012,Q3,3,8,Product 1,Maintenance Renewal,EMEA,NO,Company 128,2033.19,0,0,0,1,1
ORD-20123-00111,2012-08-24,2012,Q3,3,8,Product 1,Invoice,EMEA,UK,Company 100,3677.08,2,3,0,0,0
ORD-20123-00120,2012-08-25,2012,Q3,3,8,Product 2,Invoice,EMEA,UK,Company 7,2792.15,0,0,1,2,0
ORD-20123-00133,2012-08-25,2012,Q3,3,8,Product 1,Invoice,North America,US,Company 149,4404.18,2,4,0,0,0
ORD-20123-00097,2012-08-27,2012,Q3,3,9,Product 2,Invoice,North America,US,Company 81,2368.69,2,0,0,2,0
ORD-20123-00108,2012-08-30,2012,Q3,3,9,Product 1,Invoice,EMEA,UK,Company 122,4247.78,2,1,0,0,0
ORD-20123-00137,2012-09-05,2012,Q3,3,10,Product 1,Invoice,EMEA,NO,Company 53,8619.21,4,3,0,0,0
ORD-20123-00134,2012-09-07,2012,Q3,3,10,Product 1,Invoice,EMEA,UK,Company 16,3820.79,0,1,0,1,1
ORD-20123-00088,2012-09-08,2012,Q3,3,10,Product 1,Invoice,North America,US,Company 95,4040.67,1,0,1,2,1
ORD-20123-00099,2012-09-09,2012,Q3,3,11,Product 1,Maintenance Renewal,EMEA,UK,Company 5,2022.24,2,0,0,0,0
ORD-20123-00089,2012-09-09,2012,Q3,3,11,Product 2,Invoice,EMEA,FR,Company 116,2105.88,0,1,0,0,1
ORD-20123-00100,2012-09-10,2012,Q3,3,11,Product 1,Invoice,North America,US,Company 118,7557.08,4,2,1,1,0
ORD-20123-00113,2012-09-11,2012,Q3,3,11,Product 1,Maintenance Renewal,EMEA,NO,Company 77,1840.15,0,1,0,1,0
ORD-20123-00131,2012-09-13,2012,Q3,3,11,Product 1,Maintenance Renewal,EMEA,DE,Company 90,1624.84,1,0,0,1,0
ORD-20123-00109,2012-09-13,2012,Q3,3,11,Product 1,Invoice,North America,US,Company 38,6863.71,3,0,0,1,0
ORD-20123-00123,2012-09-14,2012,Q3,3,11,Product 1,Maintenance Renewal,North America,US,Company 111,3383.76,1,1,1,0,0
ORD-20123-00135,2012-09-18,2012,Q3,3,12,Product 1,Invoice,North America,US,Company 24,9546.79,5,2,1,2,1
ORD-20123-00112,2012-09-18,2012,Q3,3,12,Product 2,Invoice,EMEA,DE,Company 99,2149.39,1,2,0,1,1
ORD-20123-00114,2012-09-18,2012,Q3,3,12,Product 1,Invoice,EMEA,UK,Company 82,7069.44,2,3,0,0,0
ORD-20123-00098,2012-09-20,2012,Q3,3,12,Product 1,Invoice,EMEA,GR,Company 10,4091.51,2,4,0,0,1
ORD-20123-00116,2012-09-21,2012,Q3,3,12,Product 1,Maintenance Renewal,EMEA,NO,Company 116,3096.29,0,0,0,0,0
ORD-20123-00138,2012-09-23,2012,Q3,3,13,Product 1,Maintenance Renewal,EMEA,SE,Company 41,3415.36,1,0,0,1,0
ORD-20123-00093,2012-09-24,2012,Q3,3,13,Product 2,Invoice,EMEA,UK,Company 13,5800.67,4,4,3,4,1
ORD-20123-00136,2012-09-26,2012,Q3,3,13,Product 1,Maintenance Renewal,EMEA,UK,Company 71,3690.21,2,1,0,1,0
ORD-20123-00132,2012-09-27,2012,Q3,3,13,Product 1,Invoice,EMEA,NO,Company 106,4278.3,2,3,0,0,0
ORD-20123-00090,2012-09-28,2012,Q3,3,13,Product 2,Maintenance Renewal,EMEA,NO,Company 111,1388.07,1,0,0,1,0
ORD-20123-00139,2012-09-28,2012,Q3,3,13,Product 1,Invoice,North America,US,Company 34,5620.62,2,4,0,1,1
ORD-20124-00148,2012-10-10,2012,Q4,4,2,Product 1,Invoice,North America,US,Company 52,11271.9,8,11,2,3,1
ORD-20124-00184,2012-10-10,2012,Q4,4,2,Product 1,Invoice,North America,US,Company 21,6835.76,7,0,1,0,0
ORD-20124-00140,2012-10-10,2012,Q4,4,2,Product 1,Invoice,EMEA,UK,Company 25,8337.98,4,4,0,4,0
ORD-20124-00168,2012-10-12,2012,Q4,4,2,Product 1,Invoice,EMEA,UK,Company 31,6863.5,4,3,0,1,0
ORD-20124-00142,2012-10-19,2012,Q4,4,3,Product 1,Invoice,EMEA,NO,Company 116,6152.12,6,4,0,1,0
ORD-20124-00145,2012-10-21,2012,Q4,4,3,Product 1,Invoice,North America,US,Company 121,8236.96,1,2,0,3,1
ORD-20124-00179,2012-10-21,2012,Q4,4,3,Product 1,Invoice,North America,US,Company 22,7872.35,2,3,0,6,0
ORD-20124-00143,2012-10-24,2012,Q4,4,4,Product 1,Invoice,EMEA,SP,Company 134,4959.45,3,3,0,1,0
ORD-20124-00163,2012-10-25,2012,Q4,4,4,Product 1,Invoice,EMEA,UK,Company 78,9353.2,3,1,0,1,0
ORD-20124-00164,2012-10-26,2012,Q4,4,4,Product 2,Invoice,EMEA,NO,Company 52,4143.1,3,0,0,0,0
ORD-20124-00180,2012-10-29,2012,Q4,4,5,Product 1,Invoice,EMEA,UK,Company 148,11493.83,4,5,0,2,0
ORD-20124-00186,2012-11-02,2012,Q4,4,5,Product 1,Invoice,EMEA,DE,Company 83,8782.84,4,2,1,1,1
ORD-20124-00155,2012-11-05,2012,Q4,4,6,Product 2,Invoice,EMEA,NO,Company 5,5976.07,4,0,1,2,1
ORD-20124-00196,2012-11-09,2012,Q4,4,6,Product 1,Invoice,EMEA,DE,Company 92,8825.15,10,3,0,2,0
ORD-20124-00191,2012-11-10,2012,Q4,4,6,Product 1,Invoice,North America,US,Company 10,11746.06,5,7,1,1,0
ORD-20124-00169,2012-11-17,2012,Q4,4,7,Product 1,Invoice,EMEA,UK,Company 114,7147.35,4,2,1,1,1
ORD-20124-00160,2012-11-17,2012,Q4,4,7,Product 1,Invoice,EMEA,NO,Company 47,7972.06,6,1,0,2,0
ORD-20124-00195,2012-11-19,2012,Q4,4,8,Product 1,Invoice,North America,US,Company 149,3178.13,4,1,0,1,0
ORD-20124-00192,2012-11-21,2012,Q4,4,8,Product 1,Invoice,EMEA,UK,Company 133,7734.15,5,0,4,3,1
ORD-20124-00166,2012-11-24,2012,Q4,4,8,Product 1,Invoice,EMEA,FR,Company 22,4970.77,2,2,0,1,0
ORD-20124-00177,2012-11-26,2012,Q4,4,9,Product 1,Invoice,EMEA,UK,Company 128,5737.39,4,0,0,0,0
ORD-20124-00185,2012-11-26,2012,Q4,4,9,Product 2,Invoice,EMEA,UK,Company 31,7369.71,4,2,0,0,0
ORD-20124-00154,2012-11-26,2012,Q4,4,9,Product 1,Invoice,North America,US,Company 149,9137.88,4,1,2,5,0
ORD-20124-00165,2012-11-27,2012,Q4,4,9,Product 2,Invoice,EMEA,DE,Company 149,5341.59,3,3,0,0,0
ORD-20124-00170,2012-11-28,2012,Q4,4,9,Product 1,Maintenance Renewal,North America,US,Company 97,3150.9,0,2,0,0,0
ORD-20124-00171,2012-11-29,2012,Q4,4,9,Product 1,Maintenance Renewal,North America,US,Company 67,2355.83,0,1,0,1,0
ORD-20124-00181,2012-11-29,2012,Q4,4,9,Product 1,Invoice,EMEA,UK,Company 20,4582.72,3,3,0,1,0
ORD-20124-00189,2012-11-29,2012,Q4,4,9,Product 1,Invoice,EMEA,FR,Company 79,11135.27,8,4,0,0,0
ORD-20124-00190,2012-11-29,2012,Q4,4,9,Product 2,Invoice,EMEA,DE,Company 67,4266.52,1,1,1,1,0
ORD-20124-00167,2012-11-30,2012,Q4,4,9,Product 1,Maintenance Renewal,North America,US,Company 103,3042.96,0,0,0,0,0
ORD-20124-00158,2012-12-01,2012,Q4,4,9,Product 1,Maintenance Renewal,EMEA,SE,Company 140,2213.46,1,0,0,1,0
ORD-20124-00159,2012-12-03,2012,Q4,4,10,Product 2,Invoice,EMEA,NO,Company 92,3585.27,0,1,0,0,0
ORD-20124-00172,2012-12-04,2012,Q4,4,10,Product 1,Invoice,EMEA,UK,Company 76,13200.54,7,9,0,4,0
ORD-20124-00176,2012-12-07,2012,Q4,4,10,Product 2,Invoice,EMEA,DE,Company 61,3218.31,0,0,0,0,1
ORD-20124-00174,2012-12-08,2012,Q4,4,10,Product 2,Invoice,EMEA,SE,Company 106,2978.58,1,2,0,1,0
ORD-20124-00150,2012-12-08,2012,Q4,4,10,Product 1,Invoice,EMEA,GR,Company 118,4873.29,3,2,0,2,0
ORD-20124-00183,2012-12-08,2012,Q4,4,10,Product 1,Invoice,EMEA,UK,Company 147,6241.46,7,1,0,0,1
ORD-20124-00178,2012-12-09,2012,Q4,4,10,Product 2,Invoice,North America,US,Company 84,4291.3,1,2,0,0,0
ORD-20124-00161,2012-12-10,2012,Q4,4,11,Product 1,Invoice,EMEA,GR,Company 3,2494.56,1,0,0,0,0
ORD-20124-00153,2012-12-10,2012,Q4,4,11,Product 1,Maintenance Renewal,North America,US,Company 47,2833.83,0,1,0,0,0
ORD-20124-00149,2012-12-11,2012,Q4,4,11,Product 2,Invoice,EMEA,NO,Company 85,3225.7,0,2,0,0,0
ORD-20124-00156,2012-12-12,2012,Q4,4,11,Product 1,Invoice,North America,US,Company 34,4199.71,4,5,0,2,1
ORD-20124-00194,2012-12-13,2012,Q4,4,11,Product 2,Maintenance Renewal,EMEA,FR,Company 45,1164.9,0,0,0,0,0
ORD-20124-00187,2012-12-13,2012,Q4,4,11,Product 2,Invoice,EMEA,UK,Company 105,5192.24,2,1,0,1,0
ORD-20124-00147,2012-12-13,2012,Q4,4,11,Product 1,Maintenance Renewal,EMEA,DE,Company 80,1744.54,0,2,0,1,0
ORD-20124-00144,2012-12-14,2012,Q4,4,11,Product 2,Maintenance Renewal,EMEA,SP,Company 102,1212.85,0,1,0,0,0
ORD-20124-00151,2012-12-15,2012,Q4,4,11,Product 2,Maintenance Renewal,EMEA,UK,Company 121,2124.14,1,0,0,1,0
ORD-20124-00173,2012-12-16,2012,Q4,4,11,Product 1,Maintenance Renewal,EMEA,DE,Company 26,1334.65,0,0,0,0,0
ORD-20124-00175,2012-12-18,2012,Q4,4,12,Product 1,Invoice,EMEA,UK,Company 150,9948.22,4,5,3,2,1
ORD-20124-00188,2012-12-19,2012,Q4,4,12,Product 1,Invoice,North America,US,Company 130,5421.29,3,1,1,1,0
ORD-20124-00193,2012-12-19,2012,Q4,4,12,Product 2,Maintenance Renewal,North America,US,Company 59,1077.95,0,0,0,0,0
ORD-20124-00182,2012-12-20,2012,Q4,4,12,Product 2,Invoice,EMEA,SE,Company 77,4230.62,1,2,0,1,0
ORD-20124-00152,2012-12-21,2012,Q4,4,12,Product 2,Invoice,EMEA,UK,Company 84,5234.96,2,1,0,2,1
ORD-20124-00162,2012-12-24,2012,Q4,4,13,Product 1,Invoice,EMEA,UK,Company 62,7993.97,5,4,1,4,0
ORD-20124-00157,2012-12-26,2012,Q4,4,13,Product 1,Invoice,EMEA,UK,Company 96,9584.92,3,1,0,3,0
ORD-20124-00146,2012-12-26,2012,Q4,4,13,Product 1,Maintenance Renewal,EMEA,UK,Company 56,4121.23,2,0,0,1,0
ORD-20124-00141,2012-12-29,2012,Q4,4,13,Product 1,Invoice,North America,US,Company 116,8327.47,6,1,1,1,1
ORD-20131-00244,2013-01-14,2013,Q1,1,2,Product 1,Invoice,EMEA,NO,Company 24,6355.32,3,5,0,1,0
ORD-20131-00213,2013-01-15,2013,Q1,1,3,Product 1,Invoice,EMEA,SE,Company 22,4998.47,3,4,1,2,1
ORD-20131-00236,2013-01-19,2013,Q1,1,3,Product 1,Invoice,EMEA,FR,Company 3,6226.63,1,6,1,0,0
ORD-20131-00198,2013-01-23,2013,Q1,1,4,Product 1,Invoice,EMEA,UK,Company 92,8415.35,6,6,2,0,1
ORD-20131-00203,2013-01-28,2013,Q1,1,4,Product 2,Maintenance Renewal,North America,US,Company 144,2368.44,1,1,0,0,0
ORD-20131-00228,2013-01-28,2013,Q1,1,4,Product 1,Invoice,EMEA,GR,Company 133,2451.0,4,2,0,0,0
ORD-20131-00242,2013-01-31,2013,Q1,1,5,Product 1,Invoice,EMEA,FR,Company 72,7745.97,2,3,0,1,1
ORD-20131-00219,2013-02-01,2013,Q1,1,5,Product 1,Invoice,EMEA,UK,Company 128,3572.15,2,1,0,0,1
ORD-20131-00208,2013-02-01,2013,Q1,1,5,Product 2,Maintenance Renewal,North America,US,Company 141,2730.65,0,0,0,0,0
ORD-20131-00201,2013-02-02,2013,Q1,1,5,Product 1,Invoice,EMEA,NO,Company 17,9629.3,6,4,0,3,1
ORD-20131-00254,2013-02-02,2013,Q1,1,5,Product 2,Invoice,EMEA,NO,Company 10,4376.46,0,1,0,2,1
ORD-20131-00234,2013-02-05,2013,Q1,1,6,Product 2,Maintenance Renewal,EMEA,UK,Company 132,1441.16,0,0,0,0,0
